id,x,y,z,i
0,-5.70896,-13.5627,0.0779696,0
0,-5.7675,-13.5306,0.130253,0
0,-5.73641,-13.5257,0.0687104,0
0,-5.77211,-13.5016,0.193814,0
0,-5.78345,-13.5285,0.0996423,0
0,-5.77845,-13.5102,0.100595,0
0,-5.79637,-13.4851,0.102054,0
0,-5.78857,-13.5629,0.12871,0
0,-5.75028,-13.5671,0.00546594,0
0,-5.73751,-13.5503,0.00643351,0
0,-5.76187,-13.5599,0.212283,0
0,-5.73314,-13.534,0.00728676,0
0,-5.75458,-13.5138,0.131032,0
0,-5.72793,-13.5151,0.00827365,0
0,-5.76104,-13.4922,0.132301,0
0,-5.75358,-13.4878,0.00933607,0
0,-5.74117,-13.5162,0.0529422,0
0,-5.72842,-13.5399,0.181009,0
0,-5.71852,-13.5201,0.0522994,0
0,-5.75352,-13.5094,0.162138,0
0,-5.81141,-13.5251,0.0555781,0
0,-5.74414,-13.5435,0.212873,0
0,-5.73459,-13.5725,0.0930612,0
0,-5.78418,-13.5678,0.0540418,0
0,-5.72337,-13.5513,0.0939901,0
0,-5.74619,-13.5386,0.133714,0
0,-5.77732,-13.6231,0.0118815,0
0,-5.74773,-13.5386,0.172646,0
0,-5.77811,-13.5744,0.0353411,0
0,-5.79628,-13.5495,0.0365164,0
0,-5.75676,-13.5413,0.0371466,0
0,-5.76983,-13.5234,0.161625,0
0,-5.75533,-13.521,0.0381811,0
0,-5.76368,-13.5861,0.170476,0
1,-14.7855,-7.54387,0.26739,0
1,-14.765,-7.55949,0.183109,0
1,-14.743,-7.5447,0.18323,0
1,-14.7431,-7.52929,0.266889,0
1,-14.7228,-7.54519,0.183163,0
1,-14.7233,-7.53027,0.26644,0
1,-14.7001,-7.54887,0.18303,0
1,-14.7265,-7.50903,0.267191,0
1,-14.7665,-7.56775,0.203655,0
1,-14.7695,-7.54986,0.287615,0
1,-14.7418,-7.55603,0.20373,0
1,-14.7548,-7.52754,0.204435,0
1,-14.7474,-7.53506,0.287585,0
1,-14.7072,-7.5514,0.203574,0
1,-14.7262,-7.50868,0.313244,0
1,-14.7363,-7.52774,0.287565,0
1,-14.7161,-7.5082,0.246335,0
1,-14.7182,-7.52327,0.245942,0
1,-14.7097,-7.52943,0.162765,0
1,-14.7372,-7.5082,0.330481,0
1,-14.7323,-7.52792,0.246044,0
1,-14.7056,-7.54967,0.162493,0
1,-14.7362,-7.52594,0.329681,0
1,-14.7404,-7.53783,0.245894,0
1,-14.7197,-7.55428,0.162407,0
1,-14.7545,-7.5426,0.245989,0
1,-14.7154,-7.57446,0.162131,0
1,-14.7737,-7.52779,0.330897,0
1,-14.7653,-7.56647,0.162152,0
1,-14.705,-7.5282,0.201434,0
1,-14.7059,-7.5048,0.201693,0
1,-14.7101,-7.5407,0.142012,0
1,-14.7713,-7.57164,0.261844,0
1,-14.7485,-7.58493,0.157898,0
1,-14.7503,-7.59123,0.311789,0
1,-14.7552,-7.59131,0.157538,0
1,-14.7659,-7.57615,0.313427,0
