id,x,y,z,i
0,26.6283,-12.6112,-0.351225,12
0,26.7443,-12.5938,-0.359366,3
0,26.6695,-12.5471,-0.355128,8
0,26.7155,-12.6025,-0.371995,1
0,26.6438,-12.5805,-0.185528,2
0,26.6121,-12.6621,-0.248899,3
0,26.7286,-12.6029,-0.368897,81
0,26.6373,-12.5768,-0.189099,32
0,26.6835,-12.6276,-0.172729,3
0,26.6395,-12.5955,-0.362044,66
0,26.6237,-12.5587,-0.337865,0
0,26.6888,-12.5884,-0.37655,100
0,26.6632,-12.5522,-0.360477,7
0,26.6219,-12.6129,-0.3508,3
0,26.6357,-12.6089,-0.362118,49
0,26.628,-12.676,-0.315468,2
0,26.7441,-12.5686,-0.358845,3
0,26.6876,-12.6525,-0.178906,0
0,26.6667,-12.5783,-0.374532,83
0,26.6974,-12.4987,-0.246059,3
0,26.672,-12.5726,-0.374756,91
0,26.74,-12.5951,-0.369485,49
0,26.631,-12.6184,-0.362021,32
0,26.6767,-12.567,-0.374936,93
0,26.6595,-12.5763,-0.373916,68
0,26.6624,-12.5528,-0.366219,6
0,26.6961,-12.5653,-0.376354,61
0,26.6891,-12.5632,-0.375753,62
0,26.6529,-12.5781,-0.373476,61
0,26.6401,-12.6171,-0.369953,3
0,26.6479,-12.5837,-0.373271,61
0,26.6256,-12.5733,-0.188481,21
0,26.6507,-12.6848,-0.209662,2
0,26.7023,-12.5633,-0.376775,68
0,26.7411,-12.5738,-0.369015,16
0,26.6517,-12.5446,-0.359731,7
0,26.6938,-12.5934,-0.384672,5
0,26.694,-12.5182,-0.346642,3
0,26.6232,-12.6122,-0.361288,16
0,26.6425,-12.5894,-0.373045,53
0,26.7095,-12.5652,-0.3774,68
0,26.6392,-12.6027,-0.373221,45
0,26.5999,-12.589,-0.337603,0
0,26.7284,-12.6453,-0.174229,4
0,26.6685,-12.5904,-0.383489,8
0,26.651,-12.5345,-0.354021,6
0,26.7168,-12.5671,-0.378027,68
0,26.632,-12.542,-0.349118,1
